** File: unipathway2metacyc.tsv
**
** Synopsis: Mapping UniPathway (UPA, ULS, UER) / MetaCyc (reaction)
**
**
** UniPathway release 2014_11 of 2014/11/26
**
** MetaCyc release 18.5 of Wed Oct 29, 2014
**
** format: UPAID ULSID UERID MetaCyc_ID
**   with UPAID = UniPathway pathway (UPA) identifier
**        ULSID = UniPathway linear sub-pathway (ULS) identifier
**        UERID = UniPathway enzymatic-reaction (UER) identifier
**        MetaCyc_ID = MetaCyc reaction identifier
**        
**   separator: tab
**
UPA00545	ULS00415	UER00823	PECTINESTERASE-RXN
UPA00545	ULS00415	UER00825	OLIGOGALACTURONIDE-LYASE-RXN
UPA00545	ULS00415	UER00825	OLIGOGALACTURONIDE-LYASE-RXN
UPA00545	ULS00415	UER00826	5.3.1.17-RXN
UPA00545	ULS00415	UER00826	5.3.1.17-RXN
UPA00545	ULS00415	UER00827	1.1.1.127-RXN
UPA00141	ULS00267	UER00568	L-ARABINOSE-1-DEHYDROGENASE-RXN
UPA00141	ULS00267	UER00568	RXN-8774
UPA00141	ULS00267	UER00568	L-ARABINOSE-1-DEHYDROGENASE-RXN
UPA00141	ULS00267	UER00569	L-ARABINONOLACTONASE-RXN
UPA00141	ULS00267	UER00569	L-ARABINONOLACTONASE-RXN
UPA00141	ULS00267	UER00570	L-ARABINONATE-DEHYDRATASE-RXN
UPA00141	ULS00267	UER00570	L-ARABINONATE-DEHYDRATASE-RXN
UPA00907	ULS00455	UER00921	RXN-13116
UPA00907	ULS00455	UER00921	RXN-13116
UPA00907	ULS00455	UER00922	RXN-13117
UPA00907	ULS00455	UER00922	RXN-13117
UPA00907	ULS00455	UER00923	RXN-13118
UPA00907	ULS00455	UER00923	RXN-13118
UPA00907	ULS00455	UER00924	RXN-13119
UPA00907	ULS00455	UER00924	RXN-13119
UPA00155	ULS00096	UER00250	1.14.12.18-RXN
UPA00155	ULS00096	UER00251	1.3.1.56-RXN
UPA00155	ULS00096	UER00252	BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN
UPA00155	ULS00096	UER00253	3.7.1.8-RXN
UPA00808	ULS00383	UER00776	R606-RXN
UPA00808	ULS00383	UER00776	R606-RXN
UPA00808	ULS00383	UER00777	R607-RXN
UPA00808	ULS00383	UER00777	R607-RXN
UPA00808	ULS00383	UER00778	R608-RXN
UPA00808	ULS00383	UER00778	R608-RXN
UPA00275	ULS00188	UER00399	DIOHBUTANONEPSYN-RXN
UPA00839	ULS00399	UER00800	TARTRATE-DEHYDROGENASE-RXN
UPA00839	ULS00399	UER00800	TARTRATE-DEHYDROGENASE-RXN
UPA00839	ULS00400	UER00801	RXN-8643
UPA00839	ULS00400	UER00801	RXN-8643
UPA00809	ULS00384	UER00780	R604-RXN
UPA00809	ULS00384	UER00780	R604-RXN
UPA00809	ULS00384	UER00781	R605-RXN
UPA00809	ULS00384	UER00781	R605-RXN
UPA00047	ULS00018	UER00054	THREDEHYD-RXN
UPA00047	ULS00019	UER00067	R-2-METHYLMALATE-DEHYDRATASE-RXN
UPA00047	ULS00019	UER00067	RXN-7744
UPA00047	ULS00019	UER00067	R-2-METHYLMALATE-DEHYDRATASE-RXN
UPA00047	ULS00019	UER00067	RXN-7744
UPA00047	ULS00019	UER00069	RXN-7745
UPA00047	ULS00019	UER00069	RXN-7745
UPA00141	ULS00269	UER00572	4.2.1.43-RXN
UPA00141	ULS00269	UER00572	4.2.1.43-RXN
UPA00141	ULS00269	UER00573	25-DIOXOVALERATE-DEHYDROGENASE-RXN
UPA00141	ULS00269	UER00573	25-DIOXOVALERATE-DEHYDROGENASE-RXN
UPA00223	ULS00489	UER00996	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
UPA00223	ULS00489	UER00996	RXN-7969
UPA00223	ULS00488	UER00995	ISOCITDEH-RXN
UPA00223	ULS00488	UER00995	RXN-8642
UPA00372	ULS00259	UER00547	4-COUMARATE--COA-LIGASE-RXN
UPA00372	ULS00259	UER00547	4-COUMARATE--COA-LIGASE-RXN
UPA00372	ULS00259	UER00548	RXN-87
UPA00372	ULS00259	UER00548	RXN-87
UPA00088	ULS00074	UER00178	3-DEHYDROQUINATE-DEHYDRATASE-RXN
UPA00156	ULS00098	UER00256	BENZOATE-4-MONOOXYGENASE-RXN
UPA00156	ULS00098	UER00257	1.14.13.33-RXN
UPA00156	ULS00098	UER00257	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
UPA00726	ULS00359	UER00728	PHTHALATE-45-DIOXYGENASE-RXN
UPA00726	ULS00359	UER00728	PHTHALATE-45-DIOXYGENASE-RXN
